epoch,train_loss,train_exact_match,train_hamming_acc,train_mean_iou,train_precision_micro,train_recall_micro,train_f1_micro,train_f1_macro,val_loss,val_exact_match,val_hamming_acc,val_mean_iou,val_precision_micro,val_recall_micro,val_f1_micro,val_f1_macro,saved_checkpoint,checkpoint_path,pretrained,freeze_backbone,seed,threshold,lr,batch_size,param_count
1,0.42474433164926445,0.007861635647714138,0.8359014391899109,0.016807053238153458,0.16579224169254303,0.0280888881534338,0.048038918524980545,0.046791285276412964,0.3634752134482066,0.036710720509290695,0.8600097894668579,0.05261870101094246,0.9230769276618958,0.04040404036641121,0.07741935551166534,0.07446298748254776,True,runs\densenet121_headonly_lr3e4\best_densenet121_multilabel.pth,True,True,42,0.5,0.0003,32,12300
2,0.34028357211148963,0.1072327047586441,0.8679507374763489,0.14661425352096558,0.9466463327407837,0.1103999987244606,0.19773921370506287,0.19323386251926422,0.312780701028793,0.19823788106441498,0.8846059441566467,0.2808370292186737,0.9422382712364197,0.21969696879386902,0.3563140034675598,0.3487807810306549,True,runs\densenet121_headonly_lr3e4\best_densenet121_multilabel.pth,True,True,42,0.5,0.0003,32,12300
3,0.3032676932571819,0.2075471729040146,0.8853511810302734,0.3034748435020447,0.9222972989082336,0.24266666173934937,0.3842364549636841,0.37479257583618164,0.28898459055875364,0.2657856047153473,0.8967205286026001,0.39133626222610474,0.917475700378418,0.3181818127632141,0.4724999964237213,0.4615741968154907,True,runs\densenet121_headonly_lr3e4\best_densenet121_multilabel.pth,True,True,42,0.5,0.0003,32,12300
4,0.282184870063134,0.25660377740859985,0.8948899507522583,0.3896833062171936,0.8967551589012146,0.3242666721343994,0.4763023853302002,0.470034122467041,0.27488460633548173,0.2878120541572571,0.9013705253601074,0.43416547775268555,0.8897958993911743,0.3670033812522888,0.5196662545204163,0.5064757466316223,True,runs\densenet121_headonly_lr3e4\best_densenet121_multilabel.pth,True,True,42,0.5,0.0003,32,12300
5,0.26848502106636574,0.2855345904827118,0.9004716873168945,0.43769919872283936,0.8830188512802124,0.37439998984336853,0.5258427262306213,0.5197626948356628,0.26456265429393133,0.31571218371391296,0.9062653183937073,0.48176702857017517,0.8781362175941467,0.4124579131603241,0.5612829327583313,0.551774799823761,True,runs\densenet121_headonly_lr3e4\best_densenet121_multilabel.pth,True,True,42,0.5,0.0003,32,12300
6,0.2569653027087637,0.3056603670120239,0.9037997722625732,0.4688709080219269,0.8763482570648193,0.40444445610046387,0.5534606575965881,0.5492860078811646,0.258303163947863,0.3186490535736084,0.9073666334152222,0.5008565783500671,0.8437001705169678,0.44528618454933167,0.5829201340675354,0.5751590728759766,True,runs\densenet121_headonly_lr3e4\best_densenet121_multilabel.pth,True,True,42,0.5,0.0003,32,12300
7,0.2480764240588782,0.3201257884502411,0.9072850942611694,0.495825856924057,0.8701667189598083,0.436088889837265,0.58100426197052,0.57854825258255,0.2536985319704036,0.3318648934364319,0.9093245267868042,0.5091042518615723,0.8587480187416077,0.4503366947174072,0.5908337831497192,0.5824721455574036,True,runs\densenet121_headonly_lr3e4\best_densenet121_multilabel.pth,True,True,42,0.5,0.0003,32,12300
8,0.2449728268497395,0.3289308249950409,0.9082547426223755,0.5053017139434814,0.8664596080780029,0.446399986743927,0.589229166507721,0.586523711681366,0.2513176205837429,0.32892805337905884,0.9085903167724609,0.5157122015953064,0.8366411924362183,0.4612794518470764,0.5946825742721558,0.5877100825309753,True,runs\densenet121_headonly_lr3e4\best_densenet121_multilabel.pth,True,True,42,0.5,0.0003,32,12300
9,0.23616670576281518,0.34276729822158813,0.9112945199012756,0.524981677532196,0.8657739758491516,0.47128888964653015,0.6103372573852539,0.6067957282066345,0.24613836814653506,0.3553597629070282,0.9123837351799011,0.5386686325073242,0.8522388339042664,0.4806397259235382,0.614639401435852,0.6081568002700806,True,runs\densenet121_headonly_lr3e4\best_densenet121_multilabel.pth,True,True,42,0.5,0.0003,32,12300
10,0.2337173414680193,0.34716981649398804,0.9122903347015381,0.5343269109725952,0.8652982711791992,0.47964444756507874,0.6171794533729553,0.6147892475128174,0.243028063715467,0.3553597629070282,0.9109153151512146,0.5412523746490479,0.8221288323402405,0.49410775303840637,0.6172450184822083,0.6093115210533142,True,runs\densenet121_headonly_lr3e4\best_densenet121_multilabel.pth,True,True,42,0.5,0.0003,32,12300
