epoch,train_loss,train_exact_match,train_hamming_acc,train_mean_iou,train_precision_micro,train_recall_micro,train_f1_micro,train_f1_macro,val_loss,val_exact_match,val_hamming_acc,val_mean_iou,val_precision_micro,val_recall_micro,val_f1_micro,val_f1_macro,saved_checkpoint,checkpoint_path,pretrained,freeze_backbone,seed,threshold,lr,batch_size,param_count
1,0.3849163321579028,0.10062892735004425,0.8582285046577454,0.15520939230918884,0.5822494029998779,0.13528889417648315,0.21956145763397217,0.21925421059131622,0.30449452961243895,0.21732746064662933,0.8896231055259705,0.3431228697299957,0.8470873832702637,0.29377105832099915,0.4362500011920929,0.4231956899166107,True,runs\resnet18_headonly_lr1e3\best_resnet18_multilabel.pth,True,True,42,0.5,0.001,32,6156
2,0.2963032967264547,0.2358490526676178,0.8900419473648071,0.37827569246292114,0.8143422603607178,0.329066663980484,0.468726247549057,0.46516403555870056,0.2753321616397555,0.2966226041316986,0.8992902636528015,0.452765554189682,0.8218694925308228,0.39225590229034424,0.5310541391372681,0.5194682478904724,True,runs\resnet18_headonly_lr1e3\best_resnet18_multilabel.pth,True,True,42,0.5,0.001,32,6156
3,0.2772749070851308,0.2861635088920593,0.8970387578010559,0.4505743086338043,0.8002833127975464,0.4017777740955353,0.5349745750427246,0.5332581400871277,0.2659685159219694,0.303964763879776,0.9023494720458984,0.48158350586891174,0.800000011920929,0.4377104341983795,0.5658324360847473,0.5518770217895508,True,runs\resnet18_headonly_lr1e3\best_resnet18_multilabel.pth,True,True,42,0.5,0.001,32,6156
4,0.2644618494705584,0.3006289303302765,0.9015461206436157,0.47873687744140625,0.8096817135810852,0.4341333210468292,0.5652123689651489,0.5626088380813599,0.2606681394507006,0.3024963140487671,0.9041849970817566,0.5028022527694702,0.7762619256973267,0.4789562225341797,0.5923997759819031,0.580018162727356,True,runs\resnet18_headonly_lr1e3\best_resnet18_multilabel.pth,True,True,42,0.5,0.001,32,6156
5,0.25356092940336505,0.31163522601127625,0.9051362872123718,0.5015625953674316,0.8147566914558411,0.46133333444595337,0.5891032814979553,0.5868787169456482,0.2613578479020431,0.30837005376815796,0.905531108379364,0.5127264261245728,0.7795698642730713,0.48821547627449036,0.6004140973091125,0.5900672674179077,True,runs\resnet18_headonly_lr1e3\best_resnet18_multilabel.pth,True,True,42,0.5,0.001,32,6156
6,0.2490074059310949,0.3305031359195709,0.9061844944953918,0.517665445804596,0.80844646692276,0.47644445300102234,0.599552571773529,0.5979504585266113,0.2553959690176618,0.3274596035480499,0.9060205817222595,0.5114904642105103,0.8025936484336853,0.46885523200035095,0.5919234752655029,0.5796706080436707,False,runs\resnet18_headonly_lr1e3\best_resnet18_multilabel.pth,True,True,42,0.5,0.001,32,6156
7,0.24362662155298317,0.33742138743400574,0.9091718792915344,0.5292722582817078,0.8162906765937805,0.4952888786792755,0.6165080666542053,0.6141961216926575,0.2567073991645275,0.32158589363098145,0.9068771600723267,0.5212922096252441,0.7889039516448975,0.49074074625968933,0.6050856113433838,0.5890222191810608,True,runs\resnet18_headonly_lr1e3\best_resnet18_multilabel.pth,True,True,42,0.5,0.001,32,6156
8,0.24296110381120406,0.33993712067604065,0.9087002277374268,0.5335617065429688,0.8075265884399414,0.4997333288192749,0.6173951029777527,0.6152740120887756,0.25638122871933877,0.3333333432674408,0.9058982133865356,0.527508556842804,0.7767503261566162,0.49494948983192444,0.604627251625061,0.5962497591972351,False,runs\resnet18_headonly_lr1e3\best_resnet18_multilabel.pth,True,True,42,0.5,0.001,32,6156
9,0.23887798319447714,0.3415094316005707,0.910298764705658,0.5411979556083679,0.8097918033599854,0.5116444230079651,0.6270835399627686,0.625518262386322,0.25139577540181984,0.3406754732131958,0.9078561067581177,0.5336636900901794,0.7865612506866455,0.502525269985199,0.6132511496543884,0.6040877103805542,True,runs\resnet18_headonly_lr1e3\best_resnet18_multilabel.pth,True,True,42,0.5,0.001,32,6156
10,0.2341323969873992,0.34811320900917053,0.9103511571884155,0.5462630987167358,0.8064516186714172,0.5155555605888367,0.6289989948272705,0.6278274059295654,0.2519888091892573,0.3465491831302643,0.906510055065155,0.5267743468284607,0.7896174788475037,0.48653197288513184,0.6020833253860474,0.5937175154685974,False,runs\resnet18_headonly_lr1e3\best_resnet18_multilabel.pth,True,True,42,0.5,0.001,32,6156
